address,phone,email,website
3100 St. Pölten--Rathausplatz 15,Yes,Yes,No
6020 Innsbruck--Fallmerayerstraße 12/III,Yes,Yes,Yes
6800 Feldkirch--Lichtensteinerstraße 76,Yes,Yes,Yes
1030 Wien--Reisnerstraße 53,Yes,Yes,No
4020 Linz--Hafnerstraße 11,Yes,Yes,Yes
1030 Wien--Am Heumarkt 10,Yes,Yes,Yes
6850 Dornbirn--Schulgasse 7/II,Yes,Yes,Yes
1030 Wien--Schwarzenbergplatz 7,Yes,Yes,No
1010 Wien--Kärntner Ring 12,Yes,Yes,No
1010 Wien--Schottenring 12,Yes,Yes,No
"1100 Wien--Vienna Twin Tower, Wienerbergstr. 11",Yes,Yes,Yes
1030 Wien--Esteplatz 4,Yes,Yes,No
1060 Wien--Gumpendorferstraße 14/23,Yes,Yes,Yes
4020 Linz--Roseggerstraße 58,Yes,Yes,No
6020 Innsbruck--Universitätsstraße 3,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
5531 Eben/Pongau--Hauptstraße 51,Yes,Yes,No
1010 Wien--Schottenring 25,Yes,Yes,Yes
4070 Eferding--Kirchenplatz 8,Yes,Yes,Yes
1010 Wien--Gluckgasse 1/Top 8,Yes,Yes,Yes
2340 Mödling--Enzersdorferstraße 4,Yes,Yes,Yes
4311 Schwertberg--Bachstraße 20c,Yes,Yes,No
1080 Wien--Alser Straße 21,Yes,Yes,Yes
4240 Freistadt--Hauptplatz 22,Yes,Yes,Yes
1220 Wien--Wagramer Straße 19/33,Yes,Yes,Yes
1010 Wien--Himmelpfortgasse 20,Yes,Yes,Yes
1010 Wien--Teinfaltstraße 8,Yes,Yes,Yes
6020 Innsbruck--Bozner Platz 4,Yes,Yes,Yes
6365 Kirchberg--Hauptstraße 11,Yes,Yes,Yes
6365 Kirchberg--Hauptstraße 11,Yes,Yes,Yes
1030 Wien--Schwarzenbergplatz 5/4.2,Yes,Yes,Yes
1010 Wien--Gauermanngasse 2,Yes,Yes,Yes
2514 Traiskirchen--Hauptplatz 17/C2/6,Yes,Yes,Yes
7000 Eisenstadt--Blumengasse 5,Yes,Yes,Yes
1010 Wien--Gonzagagasse 3/1C,Yes,Yes,Yes
2620 Neunkirchen--MSC-Bauteil 1 / Schwarzottstr. 2a,Yes,Yes,No
1030 Wien--Landstraßer Hauptstraße 47-49,Yes,Yes,No
1010 Wien--Graben 12/1-3,Yes,Yes,No
8010 Graz--Kaiserfeldgasse 23/II,Yes,Yes,Yes
1090 Wien--Garnisongasse 7,Yes,Yes,Yes
6840 Götzis--Dr.-A.-Heinzle-Strasse 34,Yes,Yes,No
5020 Salzburg--Markus Sittikus Straße 9/2/7,Yes,Yes,Yes
1090 Wien--Ferstelgasse 1/Tür 2,Yes,Yes,No
1010 Wien--Schottenring 19,Yes,Yes,Yes
1010 Wien--Gauermanngasse 2,Yes,Yes,Yes
1080 Wien--Albertgasse 1/14,Yes,Yes,Yes
5020 Salzburg--Alpenstraße 26,Yes,Yes,No
4780 Schärding/Inn--Stadtplatz 40,Yes,Yes,No
8786 Rottenmann--Hauptplatz 111,Yes,Yes,Yes
6020 Innsbruck--Andreas-Hofer-Straße 4,Yes,Yes,No
6800 Feldkirch--Churerstrasse 3/I,Yes,Yes,No
8970 Schladming--Hauptplatz 36/2,Yes,Yes,Yes
6850 Dornbirn--Goethestraße 5,Yes,Yes,Yes
1060 Wien--Gumpendorferstraße 71/10,No,Yes,No
9020 Klagenfurt am Wörthersee--Herrengasse 6,Yes,Yes,Yes
8010 Graz--Wastiangasse 7,Yes,Yes,Yes
1010 Wien--Seilergasse 16,Yes,Yes,No
1010 Wien--Schottengasse 10/12,Yes,Yes,Yes
1090 Wien--Frankgasse 10/12,Yes,Yes,Yes
5280 Braunau/Inn--Linzerstraße 1/Stadtplatz 49,Yes,Yes,Yes
"1030 Wien--Landstr. Hauptstr. 1a,Ebene 07,Top 09",Yes,Yes,No
6020 Innsbruck--Bozner Platz 4/II,Yes,Yes,Yes
1010 Wien--Franziskanerplatz 1/10,Yes,No,Yes
5020 Salzburg--Griesgasse 17/14,Yes,Yes,No
8530 Deutschlandsberg--Hauptplatz 33,Yes,Yes,No
1010 Wien--Krugerstrasse 13,Yes,Yes,Yes
4240 Freistadt--Zemannstraße 13,Yes,Yes,No
1010 Wien--Herrengasse 1,Yes,Yes,Yes
1010 Wien--Mahlerstraße 13/3,Yes,Yes,No
1010 Wien--Gauermanngasse 2,Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
1010 Wien--Doblhoffgasse 7/12,Yes,Yes,Yes
1220 Wien--St. Wendelin-Platz 6,Yes,Yes,Yes
1010 Wien--Nibelungengasse 11,Yes,Yes,Yes
1070 Wien--Gardegasse 2/9,Yes,Yes,Yes
4020 Linz--Landstraße 49,Yes,Yes,Yes
1220 Wien--Wagramer Straße 19,Yes,Yes,Yes
1020 Wien--Schüttelstr. 55,Yes,Yes,No
8010 Graz--Radetzkystraße 6/III,Yes,Yes,No
1060 Wien--Linke Wienzeile 156/15,No,Yes,No
6900 Bregenz--Wolfeggstraße 1,Yes,Yes,No
5020 Salzburg--Otto Holzbauer Straße 1,Yes,Yes,No
5020 Salzburg--Fürbergstraße 42a,Yes,Yes,No
2100 Korneuburg--Feldgasse 6,Yes,Yes,No
8990 Bad Aussee--Bahnhofstraße 132,Yes,Yes,Yes
5020 Salzburg--Kranzlmarkt 6,Yes,Yes,No
4020 Linz--Museumstraße 9,Yes,Yes,Yes
1010 Wien--Jasomirgottstraße 6/5,Yes,No,Yes
5020 Salzburg--Kranzlmarkt 6,Yes,No,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
1050 Wien--Margaretenstraße 91/10,Yes,Yes,Yes
4020 Linz--Böhmerwaldstraße 14,Yes,Yes,No
1010 Wien--Seilergasse 16,Yes,Yes,No
6020 Innsbruck--Anichstraße 13/IV,Yes,Yes,No
6020 Innsbruck--Anichstraße 13/IV,Yes,Yes,Yes
6020 Innsbruck--Anichstraße 13/IV,Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
5020 Salzburg--Carl-Zuckmayer-Str. 37/41,Yes,Yes,Yes
9100 Völkermarkt--Hans-Wiegele-Straße 3,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1010 Wien--Mölker Bastei 5,Yes,Yes,Yes
1010 Wien--Graben 19,Yes,Yes,Yes
6840 Götzis--Dr.-A.-Heinzle-Strasse 34,Yes,Yes,No
6713 Ludesch--Dorfstrasse 9,Yes,Yes,No
9546 Bad Kleinkirchheim--St. Oswald - Rosennockstraße 56,Yes,Yes,Yes
1010 Wien--Rosenbursenstraße 2/15,Yes,Yes,Yes
1010 Wien--Gonzagagasse 4,Yes,Yes,No
4020 Linz--Landstraße 47,Yes,Yes,Yes
9500 Villach--Moritschstraße 5/2/1,Yes,Yes,Yes
1050 Wien--Margaretenstraße 100/15,Yes,Yes,No
"1010 Wien--Fleischmarkt 1, 3. OG, Top 5",Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
4020 Linz--Bürgerstraße 41,Yes,Yes,Yes
"1030 Wien--Ungargasse 59-61, Top 301",Yes,Yes,Yes
1010 Wien--Schottenbastei 6/6,Yes,Yes,Yes
6060 Hall/Tirol--Pfarrplatz 1,Yes,Yes,No
5020 Salzburg--Erzabt-Klotz-Straße 21A,Yes,Yes,No
4663 Laakirchen--Gmundner Straße 23,Yes,Yes,No
1010 Wien--Bartensteingasse 2,Yes,Yes,Yes
1050 Wien--Vogelsanggasse 38/7,Yes,Yes,Yes
1010 Wien--Fleischmarkt 1,Yes,Yes,Yes
1010 Wien--Parkring 2,Yes,Yes,Yes
8700 Leoben--Krottendorfer Gasse 4,Yes,Yes,No
1090 Wien--Währingerstraße 3/8,Yes,Yes,Yes
9020 Klagenfurt--Bahnhofstraße 5/III,Yes,Yes,Yes
6060 Hall/Tirol--Stadtgraben 15/1,Yes,Yes,No
6410 Telfs--Josef-Schöpf-Straße 1,Yes,Yes,Yes
1030 Wien--Lothringerstraße 16,Yes,Yes,Yes
9500 Villach--Hauptplatz 25,Yes,Yes,Yes
8530 Deutschlandsberg--Obere Schmiedgasse 7,Yes,Yes,No
1070 Wien--Lindengasse 15/2/2a,Yes,Yes,No
1030 Wien--Kundmanngasse 21,Yes,Yes,Yes
7400 Oberwart--Steinamangerer Straße 16,Yes,Yes,Yes
1010 Wien--Universitätsring 12,Yes,Yes,Yes
8010 Graz--Pestalozzistraße 3/19,Yes,Yes,Yes
8200 Gleisdorf--Bürgergasse 37,Yes,Yes,No
1020 Wien--Taborstraße 23/1,Yes,Yes,No
1030 Wien--Weyrgasse 8,Yes,Yes,No
1010 Wien--Herrengasse 1,Yes,Yes,No
8121 Deutschfeistritz--Grazerstraße 30,Yes,Yes,Yes
4020 Linz--Roseggerstraße 58,Yes,Yes,Yes
4020 Linz--Graben 16,Yes,Yes,Yes
1010 Wien--Universitätsring 10,Yes,Yes,Yes
1010 Wien--Universitätsring 10,Yes,Yes,Yes
4020 Linz--Herrenstraße 6,Yes,Yes,Yes
1010 Wien--Stadiongasse 6-8/6,Yes,Yes,Yes
4865 Nußdorf--Stockwinkl 18,Yes,Yes,Yes
1010 Wien--Rotenturmstraße 29/12,Yes,Yes,No
5020 Salzburg--Erzabt-Klotz-Straße 21A,Yes,Yes,No
5020 Salzburg--Fürstenbrunnstraße 8/Neutorstraße 22,Yes,Yes,Yes
3130 Herzogenburg--Schillerring 3,Yes,Yes,No
8200 Gleisdorf--Neugasse 1,Yes,Yes,Yes
6300 Wörgl--Poststraße 3,Yes,Yes,No
4020 Linz--Lederergasse 18,Yes,Yes,Yes
5020 Salzburg--Otto Holzbauer Straße 1,Yes,Yes,Yes
1090 Wien--Prechtlgasse 9/14,Yes,Yes,Yes
1090 Wien--Rooseveltplatz 4-5/5,Yes,Yes,Yes
1010 Wien--Fichtegasse 2 A,Yes,Yes,Yes
5020 Salzburg--Eberhard-Fugger-Straße 2a,Yes,Yes,No
5020 Salzburg--Eberhard-Fugger-Straße 2a,Yes,Yes,No
1070 Wien--Zieglergasse 3/3/3,Yes,Yes,Yes
1010 Wien--Plankengasse 2/14,Yes,Yes,Yes
1070 Wien--Mariahilferstraße 20,Yes,Yes,No
6850 Dornbirn--Riedgasse 20/3,Yes,Yes,Yes
1030 Wien--Reisnerstraße 53,Yes,Yes,Yes
1010 Wien--Wollzeile 24,Yes,Yes,Yes
2700 Wiener Neustadt--Neunkirchner Straße 17,Yes,Yes,No
1010 Wien--Franz-Josefs-Kai 3,Yes,Yes,No
7000 Eisenstadt--Propstengasse 1/1,Yes,Yes,No
1140 Wien--Ameisgasse 10,Yes,Yes,Yes
2560 Berndorf--Bahnhofstr. 8/6 (Eingang Neugasse 11),Yes,Yes,No
1010 Wien--Rotenturmstraße 19/32,Yes,Yes,Yes
1190 Wien--Heiligenstädter Straße 26-28,Yes,Yes,Yes
1010 Wien--Marc-Aurel-Straße 6/5,Yes,Yes,Yes
1190 Wien--Heiligenstädter Straße 26-28,Yes,Yes,Yes
1010 Wien--Führichgasse 6,Yes,Yes,No
"5020 Salzburg--Strubergasse 28, 5. OG",Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1070 Wien--Neustiftgasse 3/5,Yes,Yes,No
1030 Wien--Beatrixgasse 3/15,Yes,Yes,No
1080 Wien--Lange Gasse 50,Yes,Yes,Yes
4020 Linz--Lederergasse 18,Yes,Yes,Yes
5201 Seekirchen--Faberstraße 3,Yes,Yes,Yes
8010 Graz--Joanneumring 16/V,Yes,Yes,No
2320 Schwechat--Bruck Hainburger Straße 7,Yes,Yes,No
1090 Wien--Berggasse 21,Yes,Yes,Yes
1010 Wien--Schellinggasse 3,Yes,Yes,No
5020 Salzburg--Schrannengasse 10E,Yes,Yes,Yes
5020 Salzburg--Schrannengasse 10E,Yes,Yes,No
1010 Wien--Dr. Karl Lueger-Platz 5,Yes,Yes,Yes
2000 Stockerau--Hauptstraße 33/ Schillerstraße 2,Yes,Yes,No
6330 Kufstein--Baumgartnerstraße 4,Yes,Yes,Yes
6020 Innsbruck--Bozner Platz 7,Yes,Yes,Yes
1010 Wien--Schottenring 12,Yes,Yes,No
1010 Wien--Kärntner Str. 26/Eing. Marco d'Aviano,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,No
6020 Innsbruck--Schöpfstraße 6b,Yes,Yes,Yes
1010 Wien--Stallburggasse 4/17,Yes,Yes,No
1220 Wien--Donau-City-Straße 7,Yes,Yes,Yes
5020 Salzburg--Hellbrunner Straße 9a,Yes,Yes,No
2380 Perchtoldsdorf--Marktplatz 15,Yes,Yes,No
1010 Wien--Eßlinggasse 17/9,Yes,Yes,Yes
4600 Wels--Maria-Theresia-Straße 53/WDZ 6,Yes,Yes,No
1010 Wien--Oppolzergasse 6,Yes,Yes,Yes
6020 Innsbruck--Maria-Theresien-Straße 24,Yes,Yes,Yes
8010 Graz--Klosterwiesgasse 61/2,Yes,Yes,Yes
1010 Wien--Schottengasse 10,Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,Yes
4820 Bad Ischl--Wiesingerstraße 3,Yes,Yes,No
1150 Wien--Mariahilfer Straße 149,Yes,Yes,No
6020 Innsbruck--Fallmerayerstraße 8,Yes,Yes,No
4614 Marchtrenk--Linzer Straße 11,Yes,Yes,No
3100 St. Pölten--Herrengasse 3-5,Yes,Yes,Yes
5020 Salzburg--Hellbrunner Straße 9a,Yes,Yes,No
1040 Wien--Wiedner Gürtel 28/6,Yes,Yes,Yes
6971 Hard--Rheinstraße 2,Yes,Yes,Yes
1090 Wien--Porzellangasse 51,Yes,Yes,Yes
5020 Salzburg--Nonntaler Hauptstraße 44,Yes,No,Yes
1010 Wien--Schubertring 6,Yes,Yes,No
7400 Oberwart--Schulgasse 11,Yes,Yes,Yes
1010 Wien--Fleischmarkt 1 / Top 9,Yes,Yes,No
1030 Wien--Reisnerstraße 9,Yes,Yes,Yes
1030 Wien--Reisnerstraße 7/16-18,Yes,Yes,Yes
1030 Wien--Reisnerstraße 9,Yes,Yes,Yes
5020 Salzburg--Erzabt-Klotz-Straße 21A,Yes,Yes,No
4600 Wels--Edisonstraße 1 / WDZ 8,Yes,Yes,No
1090 Wien--Berggasse 4/7,Yes,Yes,Yes
1010 Wien--Goldschmiedgasse 8,Yes,Yes,No
1040 Wien--Maderstraße 1/12,Yes,Yes,Yes
6900 Bregenz--Gerberstraße 4,Yes,Yes,Yes
6020 Innsbruck--Anichstraße 3,Yes,Yes,Yes
6020 Innsbruck--Burggraben 4/2,Yes,Yes,Yes
6020 Innsbruck--Kaiserjägerstraße 4,Yes,Yes,No
6020 Innsbruck--Burggraben 4/2,Yes,Yes,No
1010 Wien--Franz-Josefs-Kai 47 (k47),Yes,Yes,Yes
1010 Wien--Johannesgasse 14,Yes,Yes,No
2340 Mödling--Kaiserin-Elisabeth-Straße 13,Yes,Yes,No
1220 Wien--Maria-Tusch-Straße 8/2/2A,Yes,Yes,Yes
4600 Wels--Dragonerstraße 54,Yes,Yes,No
8010 Graz--Glacisstraße 27/II,Yes,Yes,Yes
6020 Innsbruck--Müllerstraße 3,Yes,Yes,Yes
1010 Wien--Riemergasse 6,Yes,Yes,Yes
6973 Höchst--Bäumlestraße 24d,Yes,Yes,Yes
8010 Graz--Karmeliterplatz 4,Yes,Yes,Yes
8010 Graz--Karmeliterplatz 4,Yes,Yes,Yes
6020 Innsbruck--Maria-Theresien-Straße 38,Yes,Yes,Yes
1090 Wien--Schwarzspanierstraße 11/Top 7,Yes,Yes,Yes
2500 Baden--Pfarrplatz 4,Yes,Yes,No
5020 Salzburg--Moosstraße 58c,Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,No
4040 Linz--Schulstraße 12,Yes,Yes,No
4040 Linz--Schulstraße 12,Yes,Yes,No
1010 Wien--Stallburggasse 4/13,Yes,Yes,Yes
4020 Linz--Volksfeststraße 15,Yes,Yes,No
4020 Linz--Volksfeststraße 15,Yes,Yes,Yes
2700 Wiener Neustadt--Herzog Leopold Straße 26/1/7,Yes,Yes,No
1130 Wien--Hietzinger Hauptstraße 158,Yes,Yes,No
1010 Wien--Bösendorferstraße 5/7-8,Yes,Yes,No
1010 Wien--Kramergasse 9/14,No,Yes,No
4020 Linz--Am Winterhafen 11,Yes,Yes,Yes
4910 Ried im Innkreis--Kapuzinerberg 2,Yes,Yes,No
1010 Wien--Schottenring 14,Yes,Yes,Yes
4240 Freistadt--Pfarrgasse 20,Yes,Yes,Yes
4240 Freistadt--Pfarrgasse 20,Yes,Yes,Yes
1010 Wien--Schottengasse 1,Yes,Yes,Yes
1010 Wien--Schottenring 12,Yes,Yes,Yes
1040 Wien--Plößlgasse 11/3b,Yes,Yes,No
1010 Wien--Nibelungengasse 1,Yes,Yes,Yes
6020 Innsbruck--Müllerstraße 27,Yes,Yes,Yes
1040 Wien--Maderstraße 1,Yes,Yes,Yes
1080 Wien--Lerchenfelderstraße 94/15,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1010 Wien--Dr. Karl Lueger-Platz 5,Yes,Yes,No
9020 Klagenfurt--Alter Platz 23/2,Yes,Yes,No
1010 Wien--Grillparzerstraße 5,Yes,Yes,No
1010 Wien--Stubenbastei 2,Yes,Yes,Yes
9500 Villach--Draulände 11,Yes,Yes,Yes
8020 Graz--Brückenkopfgasse 1,Yes,Yes,Yes
1010 Wien--Schottenring 25,Yes,Yes,No
8010 Graz--Grazbachgasse 27/II/10,Yes,Yes,No
6330 Kufstein--Oberer Stadtplatz 5a,Yes,Yes,Yes
1040 Wien--Argentinierstraße 35/20,Yes,Yes,No
1040 Wien--Argentinierstraße 35/20,Yes,Yes,No
5400 Hallein--Thunstraße 16,Yes,Yes,No
"1010 Wien--Fleischmarkt 1, 3. Stock",Yes,Yes,Yes
1010 Wien--Universitätsring 10,Yes,Yes,Yes
1030 Wien--Baumannstraße 9/8,Yes,Yes,No
5020 Salzburg--Eberhard-Fugger-Straße 5,Yes,Yes,No
1010 Wien--Stallburggasse 4/13,Yes,Yes,No
8580 Köflach--Herunterplatz 1,Yes,Yes,No
1010 Wien--Wipplingerstraße 32/Mezzanin,Yes,Yes,No
1010 Wien--Krugerstraße 13,Yes,Yes,Yes
1010 Wien--Universitätsring 12,Yes,Yes,Yes
1010 Wien--Stubenring 14/3,Yes,Yes,No
4020 Linz--Landstraße 47,Yes,Yes,No
9560 Feldkirchen--10.-Oktober Straße 12,Yes,Yes,No
5020 Salzburg--Moosstraße 58c,Yes,Yes,No
1030 Wien--Am Heumarkt 7,Yes,Yes,Yes
5700 Zell/See--Strubergasse 9,Yes,Yes,Yes
4840 Vöcklabruck--Stadtplatz 19,Yes,Yes,No
5020 Salzburg--Alter Markt 7/2,Yes,Yes,No
3430 Tulln--Albrechtsgasse 12,Yes,Yes,No
6330 Kufstein--Oberer Stadtplatz 15,Yes,Yes,Yes
1010 Wien--Zedlitzgasse 3/4/23,Yes,Yes,Yes
5760 Saalfelden--Leoganger Straße 19,Yes,Yes,No
9900 Lienz--Mühlgasse 11/6,Yes,Yes,No
5280 Braunau/Inn--Stadtplatz 50/2,Yes,Yes,Yes
8700 Leoben--Hauptplatz 12,Yes,Yes,Yes
6020 Innsbruck--Anichstraße 33,Yes,Yes,Yes
1030 Wien--Reisnerstraße 40,Yes,Yes,Yes
1010 Wien--Gauermanngasse 2,Yes,Yes,Yes
1010 Wien--Mölker Bastei 5,Yes,Yes,Yes
8010 Graz--Schmiedgasse 29,Yes,Yes,Yes
8010 Graz--Marburger Kai 47/II,Yes,Yes,Yes
6020 Innsbruck--Brixnerstraße 4/II,Yes,Yes,Yes
"1110 Wien--Modecenterstraße 17, Objekt 2, 8.OG",Yes,Yes,Yes
1010 Wien--Wipplingerstraße 32/Mezzanin,Yes,Yes,Yes
1010 Wien--Singerstraße 11/7,Yes,Yes,No
5020 Salzburg--Alpenstraße 54,Yes,Yes,Yes
1010 Wien--Plankengasse 7/3. Stock,Yes,Yes,No
4020 Linz--Marienstraße 4/1,Yes,Yes,Yes
3100 St. Pölten--Andreas Hoferstraße 8,Yes,Yes,No
3100 St. Pölten--Andreas Hofer Straße 8,Yes,Yes,No
4020 Linz--Museumstraße 15,Yes,No,Yes
1090 Wien--Lazarettgasse 29/12,Yes,Yes,Yes
4600 Wels--Maria-Theresia-Straße 9,Yes,Yes,Yes
9020 Klagenfurt--Herbertstraße 10,Yes,Yes,No
9020 Klagenfurt--Dr. Arthur Lemisch Platz 2,Yes,Yes,No
1090 Wien--Garnisongasse 7/25,Yes,Yes,No
6370 Kitzbühel--Bichlstraße 22,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
2700 Wiener Neustadt--Hauptplatz 28,Yes,Yes,No
5020 Salzburg--Erzabt-Klotz-Straße 4/2,Yes,Yes,Yes
8074 Raaba-Grambach--Josef-Krainer-Straße 46/I,Yes,Yes,Yes
5020 Salzburg--Nonntaler Hauptstraße 1A/1.St.,Yes,Yes,No
4600 Wels--Maximilianstraße 6,Yes,Yes,Yes
6900 Bregenz--Rathausstraße 33,Yes,Yes,Yes
8430 Leibnitz--Konradweg 1,Yes,Yes,Yes
1010 Wien--Tuchlauben 7a,Yes,Yes,Yes
1010 Wien--Plankengasse 7/2/27,Yes,Yes,No
1010 Wien--Börseplatz 6/23,Yes,Yes,Yes
8020 Graz--Grieskai 16,Yes,Yes,No
8700 Leoben--Krottendorfer Gasse 5/I,Yes,Yes,Yes
3100 St. Pölten--Julius Raab-Promenade 2,Yes,Yes,No
5020 Salzburg--Hellbrunnerstraße 9a,Yes,Yes,No
2700 Wiener Neustadt--Herrengasse 25,Yes,Yes,Yes
5020 Salzburg--Hellbrunner Straße 9a,Yes,Yes,Yes
1090 Wien--Kolingasse 14-16,Yes,Yes,No
1010 Wien--Schottenring 19,Yes,Yes,Yes
3910 Zwettl--Schulgasse 18,Yes,Yes,Yes
1010 Wien--Burgring 1,Yes,Yes,Yes
2380 Perchtoldsdorf--Marktplatz 17,Yes,Yes,No
1010 Wien--Fütterergasse 1,Yes,Yes,No
1010 Wien--Gonzagagasse 19,Yes,Yes,No
9020 Klagenfurt--Neuer Platz 5/III,Yes,Yes,Yes
1010 Wien--Stallburggasse 2,Yes,Yes,Yes
4070 Eferding--Kirchenplatz 8,Yes,Yes,No
4070 Eferding--Kirchenplatz 8,Yes,Yes,Yes
4070 Eferding--Kirchenplatz 8,Yes,Yes,No
6300 Wörgl--Bahnhofstraße 38/I,Yes,Yes,Yes
5400 Hallein--Salzgasse 2,Yes,Yes,Yes
3950 Gmünd--Stadtplatz 6,Yes,Yes,No
4020 Linz--Breitwiesergutstraße 10/4. Stock,Yes,Yes,Yes
5020 Salzburg--Neutorstraße 21,Yes,Yes,Yes
1010 Wien--Stallburggasse 4,Yes,Yes,No
1020 Wien--Vorgartenstraße 206B,Yes,Yes,Yes
1010 Wien--Schulerstraße 18,Yes,Yes,No
8010 Graz--Franziskanerplatz 10,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1070 Wien--Zollergasse 13/4,Yes,Yes,No
1010 Wien--Schubertring 6,Yes,Yes,Yes
4910 Ried im Innkreis--Friedrich-Thurner-Straße 9,Yes,Yes,No
1030 Wien--Kundmanngasse 21,Yes,Yes,Yes
3370 Ybbs/Donau--Hauptplatz 6,Yes,Yes,No
3100 St. Pölten--Riemerplatz 1,Yes,Yes,No
"4020 Linz--Am Schillerpark, Rainerstraße 6-8",Yes,Yes,No
2351 Wiener Neudorf--Am Anningerpark 4/1/43,Yes,Yes,No
1010 Wien--Biberstraße 22/2,Yes,Yes,Yes
8430 Leibnitz--Hauptplatz 32-34,Yes,Yes,No
1010 Wien--Rotenturmstraße 12/6,Yes,Yes,Yes
1010 Wien--Dr. Karl Lueger-Platz 5,Yes,Yes,Yes
9360 Friesach--Wiener Straße 2,Yes,Yes,Yes
7400 St. Martin in der Wart--Franz Korbadits-Straße 15,Yes,Yes,Yes
4600 Wels--Dr.-Koss-Straße 2,Yes,Yes,Yes
1220 Wien--Donau-City-Straße 7,Yes,Yes,Yes
1010 Wien--Seilergasse 16,Yes,Yes,Yes
5020 Salzburg--Moosstraße 58C,Yes,Yes,No
1010 Wien--Hoher Markt 4/2/19,Yes,Yes,Yes
1010 Wien--Karlsplatz 3/1,Yes,Yes,Yes
1010 Wien--Helferstorferstraße 4/12,Yes,Yes,No
1090 Wien--Kolingasse 5/23,Yes,Yes,Yes
"8010 Graz--Opernring 7, 2. Stock",Yes,Yes,Yes
1030 Wien--Landstraßer Hauptstraße 82,Yes,Yes,Yes
1030 Wien--Marokkanergasse 16/1,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1020 Wien--Praterstern 2/1. DG,Yes,Yes,No
3430 Tulln--Rudolfstraße 17/2,Yes,Yes,No
1010 Wien--Plankengasse 7,Yes,Yes,No
4840 Vöcklabruck--Stadtplatz 19,Yes,Yes,No
1010 Wien--Stallburggasse 2/5,Yes,Yes,No
4710 Grieskirchen--Roßmarkt 20,Yes,Yes,Yes
4070 Eferding--Stadtplatz 1,Yes,Yes,Yes
1030 Wien--Schwarzenbergplatz 7,Yes,Yes,Yes
1030 Wien--Untere Viaduktgasse 6/6,Yes,Yes,No
8430 Leibnitz--Marburgerstraße 11,Yes,Yes,Yes
6800 Feldkirch--Drevesstraße 2,Yes,Yes,Yes
4020 Linz--Landstraße 47,Yes,Yes,Yes
4840 Vöcklabruck--Stadtplatz 11,Yes,Yes,No
1010 Wien--Biberstraße 3/8,Yes,Yes,Yes
1010 Wien--Schottenring 25,Yes,Yes,Yes
1070 Wien--Lindengasse 38,Yes,Yes,Yes
8010 Graz--Einspinnergasse 1,Yes,Yes,Yes
1090 Wien--Servitengasse 5/26,Yes,Yes,No
6832 Röthis--Schlößlestraße 31a,Yes,Yes,Yes
4840 Vöcklabruck--Stadtplatz 36/3. OG,Yes,Yes,No
8010 Graz--Herrengasse 28,Yes,Yes,Yes
4600 Wels--Ringstraße 38,Yes,Yes,No
4020 Linz--Museumstraße 7/2/2,Yes,Yes,Yes
"1100 Wien--Wienerbergstraße 11, Turm A, 20. OG",Yes,Yes,Yes
1010 Wien--Johannesgasse 15,Yes,Yes,No
1080 Wien--Laudongasse 12/2,Yes,Yes,Yes
8010 Graz--Bischofplatz 3,Yes,Yes,Yes
1220 Wien--Wagramer Straße 19/33,Yes,Yes,No
1090 Wien--Frankgasse 1/2,Yes,Yes,Yes
1180 Wien--Cottagegasse 10/16,Yes,Yes,No
8600 Bruck/Mur--Hauptplatz 23,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1040 Wien--Gußhausstraße 14,Yes,Yes,No
1010 Wien--Graben 12/1-3,Yes,Yes,No
6500 Landeck--Malserstraße 36 a,Yes,Yes,No
1010 Wien--Auerspergstraße 2/4,Yes,Yes,Yes
1010 Wien--Zelinkagasse 6/9b,Yes,Yes,No
6020 Innsbruck--Templstraße 16,Yes,Yes,Yes
1010 Wien--Seilergasse 16,Yes,Yes,Yes
6020 Innsbruck--Burggraben 4/2,Yes,Yes,No
"1060 Wien--Mariahilfer Straße 123/3, 3. OG",Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,Yes
2320 Schwechat--Brauhausstraße 9A/12,Yes,Yes,No
6067 Absam--Dörferstraße 11,Yes,Yes,Yes
2301 Groß-Enzersdorf--Kaiser Franz Josef-Straße 7,Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,Yes
1030 Wien--Kegelgasse 1/46,Yes,Yes,No
