address,phone,email,website
1010 Wien--Führichgasse 6,Yes,Yes,No
5020 Salzburg--Eberhard-Fugger-Straße 5,Yes,Yes,Yes
4050 Traun--Badergasse 2/1/8,Yes,Yes,No
1010 Wien--Wipplingerstraße 29/9,Yes,Yes,No
6020 Innsbruck--Maria-Theresien-Straße 34,Yes,Yes,Yes
"1010 Wien--Opernring 8, Top 11a und 12",Yes,Yes,No
1010 Wien--Heinrichsgasse 2/10,Yes,Yes,Yes
6020 Innsbruck--Maria-Theresien-Straße 34,Yes,Yes,No
1010 Wien--Falkestraße 1/4B+4C,Yes,Yes,No
"1010 Wien--Opernring 8, Top 11a und 12",Yes,Yes,No
1010 Wien--Franz-Josefs-Kai 47,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1010 Wien--Lugeck 7/20,Yes,Yes,No
1010 Wien--Universitätsring 10,Yes,Yes,Yes
1030 Wien--Pfarrhofgasse 16/2,Yes,Yes,Yes
1010 Wien--Reichsratsstraße 11/5,Yes,Yes,Yes
8680 Mürzzuschlag--Wiener Straße 50,Yes,Yes,Yes
9500 Villach--Richtstraße 9,Yes,Yes,No
1220 Wien--Donau-City-Straße 7 (DC Tower),Yes,Yes,Yes
1010 Wien--Kärntner Ring 6,Yes,Yes,Yes
1010 Wien--Dr. Karl Lueger-Platz 5,Yes,Yes,Yes
1230 Wien--Dr. Neumann-Gasse 7,Yes,Yes,Yes
1010 Wien--Seilerstätte 24/5,Yes,Yes,Yes
6020 Innsbruck--Anichstraße 29,Yes,Yes,Yes
1030 Wien--Schwarzenbergplatz 7,Yes,Yes,Yes
1010 Wien--Elisabethstraße 22,Yes,Yes,Yes
7540 Güssing--Badstraße 4,Yes,Yes,No
6020 Innsbruck--Fallmerayerstraße 8,Yes,Yes,No
4020 Linz--Museumstraße 15,Yes,Yes,Yes
1030 Wien--Marokkanergasse 22/5,Yes,Yes,No
5020 Salzburg--Erzabt-Klotz-Straße 21A,Yes,Yes,No
4311 Schwertberg--Marktplatz 8,Yes,Yes,No
4910 Ried/Innkreis--Rossmarkt 1,Yes,Yes,No
1030 Wien--Esteplatz 4,Yes,Yes,Yes
1070 Wien--Kaiserstraße 57-59/1/Top 14 B,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
1010 Wien--Jordangasse 7,Yes,Yes,Yes
1010 Wien--Kärntner Straße 10,Yes,Yes,Yes
1060 Wien--Mariahilfer Straße 23-25,No,Yes,Yes
1070 Wien--Schottenfeldgasse 85/1,Yes,Yes,Yes
1080 Wien--Albertgasse 1/ 2.Stock/Tür 14,Yes,Yes,Yes
1110 Wien--Simmeringer Hauptstraße 99/2/10,Yes,Yes,Yes
1110 Wien--Sofie-Lazarsfeld-Straße 8,Yes,Yes,Yes
6020 Innsbruck--Kaiserjägerstraße 1-Top 9,Yes,Yes,Yes
1010 Wien--Hohenstaufengasse 7,Yes,Yes,Yes
9400 Wolfsberg--Hoher Platz 17,Yes,Yes,No
6020 Innsbruck--Maria-Theresien-Straße 51-53,Yes,Yes,Yes
1010 Wien--Landhausgasse 4,Yes,Yes,Yes
6900 Bregenz--Arlbergstraße 139,Yes,Yes,Yes
1010 Wien--Rosenbursenstraße 2/15,Yes,Yes,Yes
6824 Schlins--Walgaustraße 24-26,Yes,Yes,Yes
1010 Wien--Bauernmarkt 2,Yes,Yes,Yes
1080 Wien--Schlösselgasse 20/203,Yes,Yes,Yes
"1010 Wien--Schottengasse 1, 4. Stock",Yes,Yes,Yes
4813 Altmünster--Maximilianstraße 1,Yes,Yes,Yes
1030 Wien--Am Heumarkt 9/I/11,Yes,Yes,Yes
8010 Graz--Einspinnergasse 1,Yes,Yes,Yes
8010 Graz--Hauptplatz 3,Yes,Yes,Yes
1090 Wien--Liechtensteinstraße 45a,Yes,Yes,Yes
1090 Wien--Liechtensteinstraße 45a,Yes,Yes,Yes
6780 Schruns--Gerichtsweg 2,Yes,Yes,Yes
1010 Wien--Rathausplatz 4,Yes,Yes,No
1010 Wien--Esslinggasse 7,Yes,Yes,Yes
1010 Wien--Biberstraße 5,Yes,Yes,No
1010 Wien--Bauernmarkt 2,Yes,Yes,No
1040 Wien--Favoritenstraße 26/6,Yes,Yes,No
1080 Wien--Zeltgasse 6/8,Yes,Yes,No
9020 Klagenfurt--Herrengasse 6/I,Yes,Yes,Yes
1080 Wien--Wickenburggasse 26/5,Yes,Yes,Yes
1040 Wien--Karlsgasse 15/3,Yes,Yes,Yes
1010 Wien--Seilerstätte 16,Yes,Yes,No
4020 Linz--Museumstraße 6-8,Yes,Yes,No
1010 Wien--Mahlerstraße 7,Yes,Yes,No
1010 Wien--Schubertring 6,Yes,Yes,Yes
5020 Salzburg--Erzabt-Klotz-Strasse 8,Yes,Yes,No
8010 Graz--Elisabethstraße 50 b,Yes,Yes,No
1010 Wien--Wipplingerstraße 32/20A,Yes,Yes,Yes
1010 Wien--Schottenring 19,Yes,Yes,Yes
1010 Wien--Gonzagagasse 11,Yes,Yes,Yes
4600 Wels--Karl-Loy-Straße 17,Yes,Yes,Yes
1010 Wien--Graben 14-15/B21,Yes,Yes,Yes
1010 Wien--Elisabethstraße 26,Yes,Yes,No
1040 Wien--Wohllebengasse 16/2,Yes,Yes,No
6020 Innsbruck--Maximilianstraße 3,Yes,Yes,No
1190 Wien--Grinzinger Allee 8,Yes,Yes,Yes
1010 Wien--Volksgartenstraße 5/6,Yes,Yes,Yes
1060 Wien--Millergasse 42-44/3/13,No,Yes,Yes
8280 Fürstenfeld--Fabriksgasse 3,Yes,Yes,Yes
1010 Wien--Mölker Bastei 5,Yes,Yes,Yes
1010 Wien--Herrengasse 5,Yes,Yes,No
1010 Wien--Wollzeile 1,Yes,Yes,Yes
6020 Innsbruck--Schmerlingstraße 4,Yes,Yes,No
1010 Wien--Seilergasse 16,Yes,Yes,Yes
1010 Wien--Spiegelgasse 19/15,Yes,Yes,Yes
2130 Mistelbach--Oserstraße 19-21,Yes,Yes,No
1090 Wien--Schwarzspanierstraße 11/Top 7,Yes,Yes,Yes
6850 Dornbirn--Marktplatz 9,Yes,Yes,Yes
1010 Wien--Wiesingerstraße 8/12,Yes,Yes,Yes
7000 Eisenstadt--Colmarplatz 1,Yes,Yes,Yes
8010 Graz--Keesgasse 7/pt.,Yes,Yes,Yes
7000 Eisenstadt--Colmarplatz 1,Yes,Yes,Yes
1030 Wien--Sechskrügelgasse 12,Yes,Yes,Yes
1090 Wien--Kolingasse 5/23,Yes,Yes,Yes
1010 Wien--Gonzagagasse 4,Yes,Yes,No
1060 Wien--Linke Wienzeile 40/20,Yes,Yes,No
1010 Wien--Wipplingerstraße 29/5,Yes,Yes,Yes
8720 Knittelfeld--Parkstraße 4/2/12,Yes,Yes,No
7400 Oberwart--Hauptplatz 8c/6,Yes,Yes,Yes
3580 Horn--Kirchenplatz 5,Yes,Yes,Yes
1010 Wien--Tuchlauben 13/Eingang Kleeblattg. 4,Yes,Yes,Yes
6800 Feldkirch--Neustadt 8/I,Yes,Yes,Yes
1010 Wien--Heinrichsgasse 4/5B,Yes,Yes,Yes
6063 Rum--Kugelfangweg 27,Yes,Yes,No
5081 Anif--Hellbrunnerstraße 7A,Yes,Yes,No
1010 Wien--Stubenbastei 2,Yes,Yes,Yes
1010 Wien--Stubenring 14/4,Yes,Yes,No
5020 Salzburg--Sterneckstraße 31,Yes,Yes,Yes
1020 Wien--Schmelzgasse 3/23,Yes,Yes,Yes
1070 Wien--Schottenfeldgasse 60/13,Yes,Yes,Yes
1010 Wien--Schottengasse 4/20-25,Yes,Yes,No
8010 Graz--Pestalozzistraße 3,Yes,Yes,Yes
8020 Graz--Brückenkopfgasse 2,Yes,Yes,Yes
6020 Innsbruck--Museumstraße 17b,Yes,Yes,No
8020 Graz--Brückenkopfgasse 2/I,Yes,Yes,Yes
8010 Graz--Pestalozzistraße 3,Yes,Yes,Yes
8010 Graz--Pestalozzistraße 3,Yes,Yes,Yes
"2700 Wiener Neustadt--Rudolf Diesel Straße 26, 2. Stock",Yes,Yes,Yes
1010 Wien--Franz-Josefs-Kai 27/DG/9,Yes,Yes,Yes
1010 Wien--Bäckerstraße 6,Yes,Yes,No
1010 Wien--Schottenring 19,Yes,Yes,Yes
"1100 Wien--Wienerbergstraße 11, Turm B, 19. OG",Yes,Yes,Yes
1040 Wien--Schwindgasse 6,Yes,Yes,Yes
1010 Wien--Rudolfsplatz 12/10B,Yes,Yes,Yes
1090 Wien--Rooseveltplatz 4-5/8,Yes,Yes,Yes
1010 Wien--Biberstraße 26,No,Yes,No
6020 Innsbruck--Andreas-Hofer-Straße 43,Yes,Yes,Yes
2380 Perchtoldsdorf--Marktplatz 17 /Stiege 1/1.Stock/Tür 3,Yes,Yes,Yes
1010 Wien--Reichsratsstraße 5,Yes,Yes,No
8010 Graz--Raubergasse 16/I,Yes,Yes,Yes
1010 Wien--Getreidemarkt 14/13,Yes,Yes,Yes
1010 Wien--Heinrichsgasse 4/Top 2,Yes,Yes,Yes
1010 Wien--Bräunerstraße 6,Yes,No,Yes
8010 Graz--Karmeliterplatz 4,Yes,Yes,Yes
1010 Wien--Dr. Karl-Lueger-Platz 5,Yes,Yes,Yes
9300 St. Veit/Glan--Bahnhofstraße 27,Yes,Yes,No
5061 Elsbethen--Franz Reiterweg 6,Yes,Yes,No
1010 Wien--Schottenring 12,Yes,Yes,Yes
4910 Ried im Innkreis--Rossmarkt 2,Yes,Yes,Yes
1030 Wien--Reisnerstraße 61,Yes,Yes,No
5020 Salzburg--Sterneckstraße 55/1,Yes,Yes,Yes
5023 Salzburg--Aglassingerstraße 2,Yes,Yes,No
5600 St. Johann/Pongau--Premweg 6,Yes,Yes,Yes
8600 Bruck/Mur--Schillerstraße 2,Yes,Yes,Yes
4614 Marchtrenk--Linzer Straße 11,Yes,Yes,No
1010 Wien--Mölker Bastei 5,Yes,Yes,Yes
5020 Salzburg--Sterneckstraße 55,Yes,Yes,Yes
1010 Wien--Jasomirgottstraße 6/5,Yes,Yes,Yes
6020 Innsbruck--Anichstraße 3,Yes,Yes,Yes
1010 Wien--Fischerstiege 10/15,Yes,Yes,No
5301 Eugendorf--Salzburger Straße 7/2. Stock,Yes,Yes,No
1010 Wien--Schubertring 8,Yes,Yes,No
8330 Feldbach--Bismarckstraße 8,Yes,Yes,Yes
